"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000055632.18",1189.97681932309,-1.40952471218095,0.262392133751033,3.69670371519192e-09,5.90807187761973e-05
"ENSMUSG00000019880.10",358.262910510063,-1.84767658810611,0.356641247800097,1.00810441034805e-08,8.05576234309127e-05
"ENSMUSG00000038370.6",157.660246050574,-1.81806320436205,0.368546939350723,3.91604848157881e-08,0.000138967486696338
"ENSMUSG00000044165.12",1474.07342565814,1.19538796444241,0.243277229621579,4.34762503742767e-08,0.000138967486696338
"ENSMUSG00000032085.5",2141.25877440523,-1.36485212171044,0.287844159581045,9.58145090668883e-08,0.000255217913984501
"ENSMUSG00000092284.1",297.220405136212,1.49792687094697,0.322420323745313,1.5343255717077e-07,0.000350308446957608
"ENSMUSG00000057914.15",359.347157589727,-1.40337317199408,0.30624019123701,2.13838594084325e-07,0.000379729823406188
"ENSMUSG00000049115.15",90.9279014612743,-2.09793008789983,0.458237246200795,2.03175667720083e-07,0.000379729823406188
"ENSMUSG00000001349.5",437.046542152038,-1.54592927953654,0.339947460906549,2.45747901453897e-07,0.000392754296103619
"ENSMUSG00000045103.17",2137.06307922168,-1.36580375709972,0.312511719489053,5.43721809146267e-07,0.000668443227213511
"ENSMUSG00000053137.7",614.808462368961,1.12655297583213,0.260527788816779,7.2335283179039e-07,0.000825758925548143
"ENSMUSG00000000794.9",243.985755376753,-1.6212530223225,0.379710714524755,8.67974479186992e-07,0.000924797875091101
"ENSMUSG00000090394.8",583.058492105141,-1.07997687721483,0.254991122937292,1.08299482946877e-06,0.00108177646028561
"ENSMUSG00000023886.10",765.000972520337,-1.11860085120587,0.28698248675586,4.37306987515356e-06,0.00367844224972127
"ENSMUSG00000003123.15",754.137181083995,1.00781386390462,0.258560970238492,4.6221450610322e-06,0.00369355611827083
"ENSMUSG00000103885.1",105.093868626249,-2.12968689171051,0.565283664876623,7.06999186882983e-06,0.00538060047845897
"ENSMUSG00000048096.7",337.182465055009,-1.1686785045148,0.311936020245455,7.95998969281904e-06,0.00578257069411973
"ENSMUSG00000067818.6",982.481063996721,-1.21113129700541,0.329541562282251,1.00039490732127e-05,0.00666179642033691
"ENSMUSG00000036395.15",96.527819396893,-1.46023344036398,0.402656959335589,1.20025272438115e-05,0.00737786116963828
"ENSMUSG00000063430.9",76.659236218963,-1.43873500885851,0.398479300383526,1.2571106714218e-05,0.00744116398172709
"ENSMUSG00000037852.8",360.423068906326,-1.04898288760111,0.289771734499292,1.32967285581075e-05,0.00758958270770266
"ENSMUSG00000059146.12",101.22877385296,-1.62135685264666,0.452025430693382,1.42467742781832e-05,0.00785144643151459
"ENSMUSG00000026185.8",2103.26540647609,-1.10192460602089,0.310093391974681,1.61813860071612e-05,0.00825413950194761
"ENSMUSG00000041577.5",231.842944814534,-1.14129716761812,0.321135605912796,1.65268717345966e-05,0.00825413950194761
"ENSMUSG00000023885.9",237.833540303578,-1.17321504883965,0.329496496862333,1.61432545712024e-05,0.00825413950194761
"ENSMUSG00000048304.8",82.2604724762086,-1.58300923717356,0.45233104817478,1.85982187090353e-05,0.00874225680611185
"ENSMUSG00000036446.5",372.593765564071,-1.37948581499982,0.399071582127134,2.15514255537601e-05,0.00936810662682226
"ENSMUSG00000020155.2",91.8512207856843,-1.67399528091955,0.483124018596904,2.16881457384823e-05,0.00936810662682226
"ENSMUSG00000028399.18",349.00089562488,-1.28434043278394,0.375196626163006,2.47129016494162e-05,0.0103937261621308
"ENSMUSG00000109564.1",53.0327764872059,-1.95581183743148,0.573250261833298,2.76718188393872e-05,0.0109654719266637
"ENSMUSG00000065176.1",359.004106730988,-1.51681370613326,0.449237944342522,2.81306688144921e-05,0.0109654719266637
"ENSMUSG00000020542.18",225.922749777364,-1.27935743598925,0.378563554641634,2.99736080881591e-05,0.01140567153488
"ENSMUSG00000061353.11",941.488872812501,-1.23573473462872,0.370762216557281,3.37449964478931e-05,0.0117241855050049
"ENSMUSG00000023828.3",97.8188070987497,-1.82765411899732,0.546611197363518,3.30680221618611e-05,0.0117241855050049
"ENSMUSG00000046818.7",247.427093568322,-1.1182148404953,0.335534634735163,3.54628623390143e-05,0.0117792371253571
